Area,Period,Text
Варна,от 05.08.2024 г. до 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Крумово – кв. Пясъчник, клиентите, електрозахранени от МТП 2 Пясъчник
Публикувано на 01.08.2024 11:34"
Варна,от 05.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Белоградец - клиентите, електрозахранени от ТП 4. Ще се редува поетапно изключване на отделни клонове от мрежа НН, така че да не се лишават от електрозахранване всички клиенти
Публикувано на 02.08.2024 13:35"
Варна,от 08.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Петров дол, гр. Провадия – бензиностанция АТОЛ, ПГСС Земя, електрозахранени от ТП 40 .
Временни смущения в електрозахранването са възможни от 09:00 ч. до 11:00 ч. и от 15:00 ч. до17:00 ч. в районите на гр. Девня, с. Габърница и с. Староселец
Публикувано на 02.08.2024 14:47"
Варна,На 09.08.2024 г. В периода 09:00 ч. до 16:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Калиманци, с. Изгрев – клиентите, електрозахранени от ТП 1 .
Временни смущения в електрозахранването са възможни от 09:00 ч. до 16:00 ч. в районите на с. Кипра, с. Чернево, с. Просечен, с. Левски, с. Изгрев
Публикувано на 02.08.2024 13:41"
Варна,На 09.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Девня, кв. Повеляново - бул. Съединение, ул. Славянска, ул. Ал. Стамболийски, ул. Македония, ул. Мусала, ул. Стара планина, ул. Стария бряст, ул. Странджа, ул. Търново, електрозахранени от ТП 8 Повеляново
Публикувано на 02.08.2024 14:47"
Варна,На 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на обезопасяване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Варна - м-ст Малка Чайка, захранени от ТП 610 .
Временни смущения в електрозахранването са възможни от 08:30 ч. до 17:00 ч. в районите на в м-ст Орехчето, м-ст Малка Чайка
Публикувано на 05.08.2024 17:08"
Варна,На 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: с. Зорница захр. от МТП 2 Зорница, обл.Варна
Публикувано на 06.08.2024 10:00"
Варна,На 09.08.2024 г. В периода 08:30 ч. до 17:00 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: Гр.Варна, м-ст Пчелина, м-ст Сълзица ул. Прасковка, ул.Ръж, ул.Лале, ул.Гергина и част от ул.Прилеп; Стопански абонати: ОДЕСОССТРОЙ ООД , МОНА СТИЛ ЕООД , БОНИТА ЕФЕКТ ЕООД СВЕЖЕН ЕООД , ПАЛОМА КОМ ЕООД , ПЕРФЕКТ ООД , СПРИНТ-2000 ЕООД
Публикувано на 06.08.2024 12:24"
Варна,от 09.08.2024 г. до 12.08.2024 г. В периода 09:00 ч. до 17:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Провадия, ул. Сливница, ул. Янко Сакъзов, ул. Д-р Марко Сапарев, ул. Димитър Чивгънов, ул.Опълченска, ул. Дунав.
Публикувано на 06.08.2024 16:48"
Велико Търново,от 08.08.2024 г. до 09.08.2024 г. В периода 08:00 ч. до 16:00 ч.,"Поради извършване на обслужване на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: гр. Велико Търново: м-ст Дълга Лъка, фирмите „АК ПЛАСТРОНИК АД“
Публикувано на 30.07.2024 14:08"
Велико Търново,от 08.08.2024 г. до 09.08.2024 г. В периода 09:00 ч. до 16:30 ч.,"Поради извършване на неотложни ремонтни дейности на съоръженията за доставка на електроенергия , ще бъде прекъснато електрозахранването в районите на: община Павликени: с. Д. Липница – ТП 7
Публикувано на 05.08.2024 11:34"
